domain,url,title,byteLength,linkCount
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/chem10004,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/clas10021,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/culs30004,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/mecm20011,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/jewi20006,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/musi30030,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/chin20003,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/musi30280,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/poph90297,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/musi90238,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/indg20005,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/hist20013/dates-times,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/hist20013/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/fltv20005/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/psyc30022,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/psyc30021,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/psyc30021/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/psyc30021/dates-times,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/psyc30021/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/2026/subjects/soci20016/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/musi20150/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/musi20150/dates-times,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/musi20150/further-information,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/enst20001/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/geom30009/print,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/geom30009/eligibility-and-requirements,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/geom30009/assessment,,884,0
handbook.unimelb.edu.au,https://handbook.unimelb.edu.au/subjects/geom30009/dates-times,,884,0
