src_domain,dst_domain,contextual_links
biomedicalsciences.unimelb.edu.au,staff.unimelb.edu.au,74
mdhs.unimelb.edu.au,healthsciences.unimelb.edu.au,74
scholarships.unimelb.edu.au,study.unimelb.edu.au,74
msd.unimelb.edu.au,search.unimelb.edu.au,73
biomedicalsciences.unimelb.edu.au,www.unimelb.edu.au,72
fbe.unimelb.edu.au,search.unimelb.edu.au,72
study.unimelb.edu.au,education.unimelb.edu.au,72
research.unimelb.edu.au,science.unimelb.edu.au,69
arts.unimelb.edu.au,studyos.students.unimelb.edu.au,68
mdhs.unimelb.edu.au,genomic-cancer-medicine.unimelb.edu.au,68
education.unimelb.edu.au,pursuit.unimelb.edu.au,67
mdhs.unimelb.edu.au,gateway.research.unimelb.edu.au,67
mdhs.unimelb.edu.au,dental.unimelb.edu.au,67
students.unimelb.edu.au,ecommerce.unimelb.edu.au,67
science.unimelb.edu.au,students.unimelb.edu.au,64
students.unimelb.edu.au,www.unimelb.edu.au,64
education.unimelb.edu.au,gateway.research.unimelb.edu.au,63
finearts-music.unimelb.edu.au,students.unimelb.edu.au,63
education.unimelb.edu.au,policy.unimelb.edu.au,62
students.unimelb.edu.au,safercommunity.unimelb.edu.au,62
dental.unimelb.edu.au,study.unimelb.edu.au,61
eng.unimelb.edu.au,handbook.unimelb.edu.au,60
finearts-music.unimelb.edu.au,www.findanexpert.unimelb.edu.au,60
science.unimelb.edu.au,sgeas.unimelb.edu.au,60
students.unimelb.edu.au,library.unimelb.edu.au,60
students.unimelb.edu.au,gradresearch.unimelb.edu.au,60
research.unimelb.edu.au,arts.unimelb.edu.au,59
law.unimelb.edu.au,pursuit.unimelb.edu.au,58
research.unimelb.edu.au,energy.unimelb.edu.au,58
education.unimelb.edu.au,www.unimelb.edu.au,56
law.unimelb.edu.au,www.unimelb.edu.au,56
mdhs.unimelb.edu.au,search.unimelb.edu.au,56
research.unimelb.edu.au,law.unimelb.edu.au,56
students.unimelb.edu.au,about.unimelb.edu.au,56
students.unimelb.edu.au,studentit.unimelb.edu.au,55
finearts-music.unimelb.edu.au,cm.edm.unimelb.edu.au,53
research.unimelb.edu.au,finearts-music.unimelb.edu.au,51
eng.unimelb.edu.au,umsu.unimelb.edu.au,50
mdhs.unimelb.edu.au,pursuit.unimelb.edu.au,50
science.unimelb.edu.au,mvs.unimelb.edu.au,50
mdhs.unimelb.edu.au,murrupbarak.unimelb.edu.au,49
students.unimelb.edu.au,umsu.unimelb.edu.au,49
study.unimelb.edu.au,msd.unimelb.edu.au,49
handbook.unimelb.edu.au,forms.your.unimelb.edu.au,48
study.unimelb.edu.au,vca.unimelb.edu.au,48
eng.unimelb.edu.au,energy.unimelb.edu.au,47
