cluster,jaccard,shared_key,domain_a,domain_b,url_a,url_b,words_a,words_b,shell_a,shell_b
4.2_BCom_careers_FBE_vs_MBS,0.9298,fbe-student-calendar/sep/bcom-semester-1-management-consulting-applications-open,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/sep/bcom-semester-1-management-consulting-applications-open,https://mbs.unimelb.edu.au/career/fbe-student-calendar/sep/bcom-semester-1-management-consulting-applications-open,283,281,0,0
4.2_BCom_careers_FBE_vs_MBS,0.927,ready/how-career-ready-are-you,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/ready/how-career-ready-are-you,https://mbs.unimelb.edu.au/career/ready/how-career-ready-are-you,272,270,0,0
4.2_BCom_careers_FBE_vs_MBS,0.9225,fbe-student-calendar/aug/bcom-global-management-consulting-november-applications-open,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/aug/bcom-global-management-consulting-november-applications-open,https://mbs.unimelb.edu.au/career/fbe-student-calendar/aug/bcom-global-management-consulting-november-applications-open,256,254,0,0
4.2_BCom_careers_FBE_vs_MBS,0.9225,fbe-student-calendar/july/bcom-global-management-consulting-november-london-applications-open,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/july/bcom-global-management-consulting-november-london-applications-open,https://mbs.unimelb.edu.au/career/fbe-student-calendar/july/bcom-global-management-consulting-november-london-applications-open,256,254,0,0
4.2_BCom_careers_FBE_vs_MBS,0.9219,fbe-student-calendar/aug/mbs-global-business-practicum-november-applications-open,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/aug/mbs-global-business-practicum-november-applications-open,https://mbs.unimelb.edu.au/career/fbe-student-calendar/aug/mbs-global-business-practicum-november-applications-open,254,252,0,0
4.2_BCom_careers_FBE_vs_MBS,0.9219,fbe-student-calendar/july/mbs-global-business-practicum-november-london-applications-open,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/july/mbs-global-business-practicum-november-london-applications-open,https://mbs.unimelb.edu.au/career/fbe-student-calendar/july/mbs-global-business-practicum-november-london-applications-open,254,252,0,0
4.2_BCom_careers_FBE_vs_MBS,0.9219,fbe-student-calendar/oct/mbs-global-business-practicum-january-2027-applications-open,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/oct/mbs-global-business-practicum-january-2027-applications-open,https://mbs.unimelb.edu.au/career/fbe-student-calendar/oct/mbs-global-business-practicum-january-2027-applications-open,255,253,0,0
4.2_BCom_careers_FBE_vs_MBS,0.9219,fbe-student-calendar/oct/bcom-global-management-consulting-january-2027-applications-open,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/oct/bcom-global-management-consulting-january-2027-applications-open,https://mbs.unimelb.edu.au/career/fbe-student-calendar/oct/bcom-global-management-consulting-january-2027-applications-open,255,253,0,0
4.2_BCom_careers_FBE_vs_MBS,0.9219,fbe-student-calendar/sep/mbs-global-business-practicum-january-2026-singapore-applications-open,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/sep/mbs-global-business-practicum-january-2026-singapore-applications-open,https://mbs.unimelb.edu.au/career/fbe-student-calendar/sep/mbs-global-business-practicum-january-2026-singapore-applications-open,255,253,0,0
4.2_BCom_careers_FBE_vs_MBS,0.9219,fbe-student-calendar/sep/bcom-global-management-consulting-january-2026-singapore-applications-open,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/sep/bcom-global-management-consulting-january-2026-singapore-applications-open,https://mbs.unimelb.edu.au/career/fbe-student-calendar/sep/bcom-global-management-consulting-january-2026-singapore-applications-open,255,253,0,0
4.2_BCom_careers_FBE_vs_MBS,0.9219,fbe-student-calendar/oct/mbs-global-business-practicum-january-2027-applications-open2,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/oct/mbs-global-business-practicum-january-2027-applications-open2,https://mbs.unimelb.edu.au/career/fbe-student-calendar/oct/mbs-global-business-practicum-january-2027-applications-open2,255,253,0,0
4.2_BCom_careers_FBE_vs_MBS,0.9216,fbe-student-calendar/sep/semester-2-business-innovation-challenge-applications-open,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/sep/semester-2-business-innovation-challenge-applications-open,https://mbs.unimelb.edu.au/career/fbe-student-calendar/sep/semester-2-business-innovation-challenge-applications-open,253,251,0,0
4.2_BCom_careers_FBE_vs_MBS,0.9213,fbe-student-calendar/july/semester-2-career-discovery-immersion-applications-open,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/july/semester-2-career-discovery-immersion-applications-open,https://mbs.unimelb.edu.au/career/fbe-student-calendar/july/semester-2-career-discovery-immersion-applications-open,252,250,0,0
4.2_BCom_careers_FBE_vs_MBS,0.9213,fbe-student-calendar/aug/summer-2526-priority-uni-sourced-internship-applications-open,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/aug/summer-2526-priority-uni-sourced-internship-applications-open,https://mbs.unimelb.edu.au/career/fbe-student-calendar/aug/summer-2526-priority-uni-sourced-internship-applications-open,252,250,0,0
4.2_BCom_careers_FBE_vs_MBS,0.9206,fbe-student-calendar/oct/virtual-industry-projects-summer-applications-open,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/oct/virtual-industry-projects-summer-applications-open,https://mbs.unimelb.edu.au/career/fbe-student-calendar/oct/virtual-industry-projects-summer-applications-open,250,248,0,0
4.2_BCom_careers_FBE_vs_MBS,0.9203,fbe-student-calendar/sep/summer-2526-uni-sourced-internships-applications-open,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/sep/summer-2526-uni-sourced-internships-applications-open,https://mbs.unimelb.edu.au/career/fbe-student-calendar/sep/summer-2526-uni-sourced-internships-applications-open,249,247,0,0
4.2_BCom_careers_FBE_vs_MBS,0.92,fbe-student-calendar/aug/international-business-experience-november-ho-chi-minh-city-applications-open,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/aug/international-business-experience-november-ho-chi-minh-city-applications-open,https://mbs.unimelb.edu.au/career/fbe-student-calendar/aug/international-business-experience-november-ho-chi-minh-city-applications-open,249,247,0,0
4.2_BCom_careers_FBE_vs_MBS,0.9161,your-community/linkedin-group,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/your-community/linkedin-group,https://mbs.unimelb.edu.au/career/your-community/linkedin-group,282,280,0,0
4.2_BCom_careers_FBE_vs_MBS,0.916,fbe-student-calendar/july/mbs-case-competition-applications-open,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/july/mbs-case-competition-applications-open,https://mbs.unimelb.edu.au/career/fbe-student-calendar/july/mbs-case-competition-applications-open,236,234,0,0
4.2_BCom_careers_FBE_vs_MBS,0.9,ready,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/ready,https://mbs.unimelb.edu.au/career/ready,350,348,0,0
4.2_BCom_careers_FBE_vs_MBS,0.8986,ready/build-your-skills,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/ready/build-your-skills,https://mbs.unimelb.edu.au/career/ready/build-your-skills,530,551,0,0
4.2_BCom_careers_FBE_vs_MBS,0.8694,fbe-student-calendar/july/fbe-student-welcome-hub,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/fbe-student-calendar/july/fbe-student-welcome-hub,https://mbs.unimelb.edu.au/career/fbe-student-calendar/july/fbe-student-welcome-hub,278,280,0,0
4.2_BCom_careers_FBE_vs_MBS,0.8621,apply-your-learning/internship/workhub,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/apply-your-learning/internship/workhub,https://mbs.unimelb.edu.au/career/apply-your-learning/internship/workhub,1619,1635,0,0
4.2_BCom_careers_FBE_vs_MBS,0.8304,apply-your-learning/internship/self-sourced,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/apply-your-learning/internship/self-sourced,https://mbs.unimelb.edu.au/career/apply-your-learning/internship/self-sourced,2178,2392,0,0
4.2_BCom_careers_FBE_vs_MBS,0.8229,leaders,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/leaders,https://mbs.unimelb.edu.au/career/leaders,247,261,0,0
4.2_BCom_careers_FBE_vs_MBS,0.7983,expertise,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/expertise,https://mbs.unimelb.edu.au/career/expertise,454,425,0,0
4.2_BCom_careers_FBE_vs_MBS,0.7515,your-community,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/your-community,https://mbs.unimelb.edu.au/career/your-community,806,817,0,0
4.2_BCom_careers_FBE_vs_MBS,0.7435,your-community/fbe-chats-snacks,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/your-community/fbe-chats-snacks,https://mbs.unimelb.edu.au/career/your-community/fbe-chats-snacks,341,339,0,0
4.2_BCom_careers_FBE_vs_MBS,0.6913,mentoring,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/mentoring,https://mbs.unimelb.edu.au/career/mentoring,281,237,0,0
4.2_BCom_careers_FBE_vs_MBS,0.5925,apply-your-learning/internship/faqs,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/apply-your-learning/internship/faqs,https://mbs.unimelb.edu.au/career/apply-your-learning/internship/faqs,2236,2425,0,0
4.2_BCom_careers_FBE_vs_MBS,0.4994,employability,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/employability,https://mbs.unimelb.edu.au/career/employability,623,593,0,0
4.2_BCom_careers_FBE_vs_MBS,0.4878,expertise/case-competition,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/expertise/case-competition,https://mbs.unimelb.edu.au/career/expertise/case-competition,3483,3295,0,0
4.2_BCom_careers_FBE_vs_MBS,0.4319,apply-your-learning/internship,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/apply-your-learning/internship,https://mbs.unimelb.edu.au/career/apply-your-learning/internship,1202,1189,0,0
4.2_BCom_careers_FBE_vs_MBS,0.419,apply-your-learning,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/apply-your-learning,https://mbs.unimelb.edu.au/career/apply-your-learning,357,359,0,0
4.2_BCom_careers_FBE_vs_MBS,0.3763,your-community/student-stories,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/your-community/student-stories,https://mbs.unimelb.edu.au/career/your-community/student-stories,837,896,0,0
4.3_Employability_in_X,0.5156,,arts-unimelb-edu-au,biomedicalsciences-unimelb-edu-au,https://arts.unimelb.edu.au/students/employability-in-arts,https://biomedicalsciences.unimelb.edu.au/study/employability-in-mdhs,1015,986,0,0
4.3_Employability_in_X,0.5022,,biomedicalsciences-unimelb-edu-au,education-unimelb-edu-au,https://biomedicalsciences.unimelb.edu.au/study/employability-in-mdhs,https://education.unimelb.edu.au/study/current-students/employability-in-education,986,1089,0,0
4.3_Employability_in_X,0.4994,,fbe-unimelb-edu-au,mbs-unimelb-edu-au,https://fbe.unimelb.edu.au/bcom/career/employability,https://mbs.unimelb.edu.au/career/employability,623,593,0,0
4.3_Employability_in_X,0.4781,,arts-unimelb-edu-au,education-unimelb-edu-au,https://arts.unimelb.edu.au/students/employability-in-arts,https://education.unimelb.edu.au/study/current-students/employability-in-education,1015,1089,0,0
4.3_Employability_in_X,0.4651,,biomedicalsciences-unimelb-edu-au,science-unimelb-edu-au,https://biomedicalsciences.unimelb.edu.au/study/employability-in-mdhs,https://science.unimelb.edu.au/students/employability,986,1234,0,0
4.3_Employability_in_X,0.4493,,biomedicalsciences-unimelb-edu-au,msd-unimelb-edu-au,https://biomedicalsciences.unimelb.edu.au/study/employability-in-mdhs,https://msd.unimelb.edu.au/current-students/student-experience/employability-in-architecture-building-and-planning,986,1299,0,0
4.3_Employability_in_X,0.4474,,biomedicalsciences-unimelb-edu-au,eng-unimelb-edu-au,https://biomedicalsciences.unimelb.edu.au/study/employability-in-mdhs,https://eng.unimelb.edu.au/students/employability-in-engineering-and-information-technology,986,1242,0,0
4.3_Employability_in_X,0.439,,arts-unimelb-edu-au,eng-unimelb-edu-au,https://arts.unimelb.edu.au/students/employability-in-arts,https://eng.unimelb.edu.au/students/employability-in-engineering-and-information-technology,1015,1242,0,0
4.3_Employability_in_X,0.4366,,arts-unimelb-edu-au,science-unimelb-edu-au,https://arts.unimelb.edu.au/students/employability-in-arts,https://science.unimelb.edu.au/students/employability,1015,1234,0,0
4.3_Employability_in_X,0.4321,,education-unimelb-edu-au,eng-unimelb-edu-au,https://education.unimelb.edu.au/study/current-students/employability-in-education,https://eng.unimelb.edu.au/students/employability-in-engineering-and-information-technology,1089,1242,0,0
4.3_Employability_in_X,0.4228,,education-unimelb-edu-au,science-unimelb-edu-au,https://education.unimelb.edu.au/study/current-students/employability-in-education,https://science.unimelb.edu.au/students/employability,1089,1234,0,0
4.3_Employability_in_X,0.4217,,msd-unimelb-edu-au,science-unimelb-edu-au,https://msd.unimelb.edu.au/current-students/student-experience/employability-in-architecture-building-and-planning,https://science.unimelb.edu.au/students/employability,1299,1234,0,0
4.3_Employability_in_X,0.4158,,eng-unimelb-edu-au,science-unimelb-edu-au,https://eng.unimelb.edu.au/students/employability-in-engineering-and-information-technology,https://science.unimelb.edu.au/students/employability,1242,1234,0,0
4.3_Employability_in_X,0.4136,,arts-unimelb-edu-au,msd-unimelb-edu-au,https://arts.unimelb.edu.au/students/employability-in-arts,https://msd.unimelb.edu.au/current-students/student-experience/employability-in-architecture-building-and-planning,1015,1299,0,0
4.3_Employability_in_X,0.4072,,education-unimelb-edu-au,msd-unimelb-edu-au,https://education.unimelb.edu.au/study/current-students/employability-in-education,https://msd.unimelb.edu.au/current-students/student-experience/employability-in-architecture-building-and-planning,1089,1299,0,0
4.3_Employability_in_X,0.399,,eng-unimelb-edu-au,msd-unimelb-edu-au,https://eng.unimelb.edu.au/students/employability-in-engineering-and-information-technology,https://msd.unimelb.edu.au/current-students/student-experience/employability-in-architecture-building-and-planning,1242,1299,0,0
4.3_Employability_in_X,0.3501,,biomedicalsciences-unimelb-edu-au,finearts-music-unimelb-edu-au,https://biomedicalsciences.unimelb.edu.au/study/employability-in-mdhs,https://finearts-music.unimelb.edu.au/current-students/employability-in-fine-arts-and-music,986,1011,0,0
4.3_Employability_in_X,0.3105,,arts-unimelb-edu-au,finearts-music-unimelb-edu-au,https://arts.unimelb.edu.au/students/employability-in-arts,https://finearts-music.unimelb.edu.au/current-students/employability-in-fine-arts-and-music,1015,1011,0,0
4.3_Employability_in_X,0.3076,,education-unimelb-edu-au,finearts-music-unimelb-edu-au,https://education.unimelb.edu.au/study/current-students/employability-in-education,https://finearts-music.unimelb.edu.au/current-students/employability-in-fine-arts-and-music,1089,1011,0,0
4.3_Employability_in_X,0.3073,,finearts-music-unimelb-edu-au,msd-unimelb-edu-au,https://finearts-music.unimelb.edu.au/current-students/employability-in-fine-arts-and-music,https://msd.unimelb.edu.au/current-students/student-experience/employability-in-architecture-building-and-planning,1011,1299,0,0
