type,domain,url,title
sandbox,eng.unimelb.edu.au,https://eng.unimelb.edu.au/ingenium/student-life/wenn-tests-her-options-to-find-the-right-career,Wenn tests her options to find the right career
sandbox,eng.unimelb.edu.au,https://eng.unimelb.edu.au/ingenium/transport/industry-collaboration-helps-test-the-future-of-ai-in-traffic-now,Industry collaboration helps test the future of AI in traffic now
sandbox,eng.unimelb.edu.au,"https://eng.unimelb.edu.au/csdila/projects/a-standardised-inventory-for-measuring-and-monitoring-the-state-of-australias-road-safety-culture-development,-validation,-and-a-longitudinal-testing","A standardised Inventory for Measuring and Monitoring the State of Australia's Road Safety Culture: Development, Validation, and a Longitudinal Testing"
sandbox,eng.unimelb.edu.au,https://eng.unimelb.edu.au/cadre/news-and-opportunities/process-phd-opportunities/develop-gene-tests-for-a-specific-analyte-of-interest,
sandbox,fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/newsroom/chatgpt-aces-test-of-understanding-in-college-economics,Media release: Researchers say universities need to redesign curriculums after ChatGPT aces Test of Understanding in College Economics
sandbox,fbe.unimelb.edu.au,https://fbe.unimelb.edu.au/managementmarketing/research/publications/exploring-the-duality-of-voice-habit-testing-and-extending-theory-and-measurement,Exploring the Duality of Voice Habit: Testing and Extending Theory and Measurement
sandbox,finearts-music.unimelb.edu.au,https://finearts-music.unimelb.edu.au/about-us/news/jon-cattapan-becomes-the-first-artist-to-test-a-new-edition-making-initiative-at-the-vca,Jon Cattapan becomes the first artist to test a new edition-making initiative at the VCA
sandbox,finearts-music.unimelb.edu.au,https://finearts-music.unimelb.edu.au/about-us/news/staging-change-supporting-diversity-in-australian-theatre,Staging change: supporting diversity in Australian theatre
sandbox,law.unimelb.edu.au,https://law.unimelb.edu.au/centres/iilah/news-and-events/events-2023/consistency-testing-in-wto-law-and-the-special-case-of-moral-measures,Consistency Testing in WTO Law and the Special Case of Moral Measures
sandbox,mdhs.unimelb.edu.au,https://mdhs.unimelb.edu.au/news-and-events/news-archive/entrepreneurship-skills-put-to-the-test-at-the-mdhs-health-foundry,Entrepreneurship skills put to the test at the MDHS Health Foundry
sandbox,mdhs.unimelb.edu.au,https://mdhs.unimelb.edu.au/digitalhealth/collaborate/research/research-case-studies/evaluation-of-ai-enabled-transcription-for-hospital-use-through-simulation-testing,Evaluation of AI-enabled transcription for hospital use through simulation testing
sandbox,mdhs.unimelb.edu.au,https://mdhs.unimelb.edu.au/news-and-events/entrepreneurship-skills-put-to-the-test-at-the-mdhs-health-foundry,
sandbox,medicine.unimelb.edu.au,https://medicine.unimelb.edu.au/school-structure/obstetrics-gynaecology-and-newborn-health/news-and-events/new-blood-test-offers-hope-for-more-effective-ovarian-cancer-treatment,New Blood Test Offers Hope for More Effective Ovarian Cancer Treatment
sandbox,medicine.unimelb.edu.au,https://medicine.unimelb.edu.au/school-structure/general-practice-and-primary-care/newsletter/gp-newsletter/newsletter-issue-2-2026/opportunities/care-dv-study-testing-digital-tools-to-shape-the-future-of-domestic-violence-care,CARE-DV Study – Testing digital tools to shape the future of domestic violence care
sandbox,medicine.unimelb.edu.au,https://medicine.unimelb.edu.au/research-groups/general-practice-and-primary-care-research/cancer-in-primary-care/MAGPIE-Study-A-genomic-test-intervention-designed-to-provide-patients-with-personalised-melanoma-bowel-breast-and-prostate-cancer-screening-information,"MAGPIE Study: A genomic test intervention designed to provide patients with personalised melanoma, bowel, breast, and prostate cancer screening information"
