unit_slug,faculty,level,url,title,wordCount,classification,topics
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/thi-nhung-nguyen,Thi Nhung Nguyen,347,unique,research-candidature|international
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/thi-thu-ha-do,Thi Thu Ha Do,199,unique,research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/tina-yao,Tina Yao,233,unique,research-candidature|exams-results|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/tom-hvala,Tom Hvala,152,link-farm,research-candidature|wellbeing-health|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/vita-apriliasari,Vita Apriliasari,243,unique,research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/wilson-lui,Wilson Lui,398,unique,research-candidature|placements-WIL|international
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/yan-wang,Yan Wang,239,unique,research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/yanjie-zhu,Yanjie (Andrew) Zhu,261,unique,research-candidature|exams-results
law,Law,faculty,https://law.unimelb.edu.au/students/grd/students/zelalem-shiferaw-woldemichael,Zelalem Shiferaw Woldemichael,225,unique,research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/jd,JD Students,937,mixed,wellbeing-health|scholarships|student-life|IT-systems
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment,Enrichment | JD Students | Melbourne Law School,303,unique,student-life|placements-WIL|careers-employability|clubs-events
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/global-learning-opportunities,Global learning opportunities,286,unique,international|student-life|subjects-timetable
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/global-learning-opportunities/ctls,Center for Transnational Legal Studies,1029,unique,international|student-life|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/global-learning-opportunities/degree-partnerships,Degree Partnerships,1545,unique,international|student-life|placements-WIL|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/global-learning-opportunities/degree-partnerships/boston-college,Boston College,920,unique,international|student-life|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/global-learning-opportunities/degree-partnerships/cambridge,University of Cambridge LLM/MCL,1065,unique,international|student-life|forms-admin|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/global-learning-opportunities/degree-partnerships/leiden-university,Leiden University,957,unique,international|student-life|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/global-learning-opportunities/degree-partnerships/national-taiwan-university,National Taiwan University,932,unique,international|student-life|forms-admin|scholarships
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/global-learning-opportunities/degree-partnerships/nus,National University of Singapore Master of Laws (LLM),1026,unique,international|student-life|placements-WIL|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/global-learning-opportunities/degree-partnerships/nyu,New York University JD-LLM,1097,unique,international|student-life|scholarships|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/global-learning-opportunities/degree-partnerships/oxford,University of Oxford BCL or MLF,1087,unique,international|student-life|fees-finance|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/global-learning-opportunities/degree-partnerships/peking-university,Peking University,931,unique,international|student-life|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/global-learning-opportunities/degree-partnerships/sjtu,Shanghai Jiao Tong University,973,unique,international|student-life|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/global-learning-opportunities/degree-partnerships/ubc,University of British Columbia’s Peter A Allard School of Law LLM/LLM (CL)/LLM (Tax),1103,unique,international|student-life|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/global-learning-opportunities/degree-partnerships/university-of-amsterdam,University of Amsterdam,946,unique,international|student-life|clubs-events|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/global-learning-opportunities/global-subjects,Global and interstate subjects,708,unique,international|subjects-timetable|student-life|placements-WIL
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/mls-clinics,Melbourne Law School Clinics,1095,unique,placements-WIL|student-life|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/mls-clinics/subjects/climate-resilience-clinic,Climate Resilience Clinic,131,link-farm,placements-WIL|subjects-timetable|student-life|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/mls-clinics/subjects/disability-human-rights-clinic,Disability Human Rights Clinic,256,unique,placements-WIL|subjects-timetable|student-life|inclusion-equity
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/mls-clinics/subjects/disability-human-rights-clinic/research-outcomes,DHRC Research Outcomes,205,unique,placements-WIL|subjects-timetable|student-life|inclusion-equity
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/mls-clinics/subjects/indigenous-legal-advocacy-clinic,Indigenous Legal Advocacy Clinic,437,unique,placements-WIL|subjects-timetable|student-life|inclusion-equity
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/mls-clinics/subjects/law-and-the-environment-lab,Law and the Environment Lab,130,link-farm,placements-WIL|subjects-timetable|student-life
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/mls-clinics/subjects/law-apps,Law Apps,537,unique,placements-WIL|subjects-timetable|student-life|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/mls-clinics/subjects/legal-internship,Legal Internship,1356,unique,placements-WIL|subjects-timetable|student-life
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/mls-clinics/subjects/mls-tax-clinic,Tax Clinic | Melbourne Law School | University of Melbourne,564,unique,placements-WIL|subjects-timetable|student-life
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/mls-clinics/subjects/ndis-and-disability-benefits-clinic,NDIS and Disability Benefits Clinic,453,unique,placements-WIL|subjects-timetable|student-life|inclusion-equity
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/mls-clinics/subjects/public-interest-law-clinic,Public Interest Law Clinic,803,unique,placements-WIL|subjects-timetable|student-life|contacts-support
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/mls-clinics/subjects/stateless-legal-clinic,Stateless Legal Clinic,1259,unique,placements-WIL|subjects-timetable|student-life|inclusion-equity
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/mls-clinics/subjects/street-law,Street Law,475,unique,placements-WIL|subjects-timetable|student-life
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/mls-clinics/subjects/sustainability-business-clinic,Sustainability Business Clinic,943,unique,placements-WIL|subjects-timetable|student-life|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/jd/enrichment/mooting-and-competitions,Mooting and Competitions,169,unique,clubs-events|student-life
law,Law,faculty,https://law.unimelb.edu.au/students/orientation,Orientation,509,unique,orientation|student-life|contacts-support|enrolment
law,Law,faculty,https://law.unimelb.edu.au/students/jd/studies/acceleration-guidelines,Acceleration Guidelines,558,unique,course-planning|forms-admin|subjects-timetable|exams-results
law,Law,faculty,https://law.unimelb.edu.au/students/jd/studies/accept-your-offer-and-get-started,Accept Your Offer & Get Started | JD | University of Melbourne,1823,mixed,enrolment|orientation|forms-admin|subjects-timetable
law,Law,faculty,https://law.unimelb.edu.au/students/jd/studies/class-recording-policy,Class Recording Policy,773,unique,forms-admin|placements-WIL
law,Law,faculty,https://law.unimelb.edu.au/students/jd/studies/concurrent-diploma,Concurrent Diploma option with the JD,372,unique,enrolment|course-planning
law,Law,faculty,https://law.unimelb.edu.au/students/jd/studies/course-planning,JD course planning and advice,689,mixed,course-planning|international|enrolment|placements-WIL
law,Law,faculty,https://law.unimelb.edu.au/students/jd/studies/course-plans,JD course structure and plans,837,unique,course-planning|subjects-timetable
law,Law,faculty,https://law.unimelb.edu.au/students/jd/studies/enrolment,Enrolment and Re-Enrolment | JD | Melbourne Law School,516,unique,enrolment|orientation|course-planning|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/jd/studies/enrolment/jd-subjects,JD subjects,2103,unique,subjects-timetable|enrolment|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/jd/studies/enrolment/jd-subjects/_recache,JD subjects,2103,unique,subjects-timetable|enrolment|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/jd/studies/enrolment/legal-research,Legal Research,5424,unique,enrolment|academic-skills
law,Law,faculty,https://law.unimelb.edu.au/students/jd/studies/enrolment/legal-research/_recache,Legal Research,5424,unique,enrolment|academic-skills
law,Law,faculty,https://law.unimelb.edu.au/students/jd/studies/rankings,JD Rankings,522,unique,exams-results|contacts-support|international
law,Law,faculty,https://law.unimelb.edu.au/students/jd/studies/student-achievement-and-grading,Student Achievement and Grading,976,unique,exams-results|subjects-timetable|academic-skills
law,Law,faculty,https://law.unimelb.edu.au/students/jd/studies/time-commitment-and-timetabling,Time Commitment and Timetabling,500,unique,course-planning
law,Law,faculty,https://law.unimelb.edu.au/students/jd/studies/waiver-of-subject-prerequisites,Subject Prerequisite Waiver,168,unique,enrolment|scholarships|placements-WIL|forms-admin
law,Law,faculty,https://law.unimelb.edu.au/students/law-students-study-area,Student Cards and Law Students' Study Area,508,unique,student-life|fees-finance|forms-admin|research-candidature
law,Law,faculty,https://law.unimelb.edu.au/students/legal-academic-skills,Ian Malkin Centre for Legal Academic Skills,149,link-farm,academic-skills|enrolment|contacts-support
