unit_slug,faculty,level,page_type,url,title,wordCount,classification,topics
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-construction,Master of Architecture/Master of Construction,954,mixed,course-planning
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-landscape-architecture,Master of Architecture/Master of Landscape Architecture,786,mixed,course-planning
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-property,Master of Architecture/Master of Property,647,mixed,course-planning
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-urban-design,Master of Architecture/Master of Urban Design,676,mixed,course-planning
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-urban-cultural-heritage,Master of Architecture/Master of Urban and Cultural Heritage,651,mixed,course-planning
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-urban-planning,Master of Architecture/Master of Urban Planning,711,mixed,course-planning
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/construction-property,Master of Construction/Master of Property,960,mixed,course-planning
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/landscape-architecture-urban-design,Master of Landscape Architecture/Master of Urban Design,725,mixed,course-planning
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/landscape-urban-planning,Master of Landscape/Master of Urban Planning,763,mixed,course-planning
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/property-urban-planning,Master of Property/Master of Urban Planning,723,mixed,course-planning
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/urban-planning-urban-design,Master of Urban Planning/Master of Urban Design,599,mixed,course-planning
abp,ABP,faculty,stub,https://msd.unimelb.edu.au/current-students/enrolment/list-of-forms/application-for-extension/extension-application-form,Redirecting...,0,link-farm,special-consideration|forms-admin|enrolment
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-urban-planning/up-2023_sm2-studios/mup-studio,MUP Studio,565,mixed,subjects-timetable|placements-WIL
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-urban-design/ud-2023_sm2-studios/studio-a,Studio A,1518,mixed,subjects-timetable|placements-WIL
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm2_2025/the-city-as-design,The City as Design Project,1412,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm2_2025/go-east-young-woman,Go East Young Wo(Man),1076,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-urban-design/ud-2023_sm2-studios/thesis-studio,Thesis Studio,987,mixed,research-candidature|subjects-timetable|placements-WIL
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-landscape-architecture/la_sm1_2026/material-traces,MATERIAL TRACES,815,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-landscape-architecture/la_sm1_2026/darebin-resilience,DESIGNING RIPIARIAN SYSTEMS FOR RESILIENCE & CULTURAL MEANING,1275,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/caretaker-studio,Caretaker Studio,791,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/unbounding-ground,Unbounding Ground,729,mixed,subjects-timetable|placements-WIL
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/narrating-ground,Narrating Ground,740,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/yern-da-ville,Yern-da-ville,811,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/html,HTML,848,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/threshold,Threshold,1347,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/five-mile-creek,Five Mile Creek,941,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/inland,Inland,662,mixed,subjects-timetable|placements-WIL
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/the-mansion-and-the-lagoon,The Mansion and The Lagoon,1043,mixed,subjects-timetable|placements-WIL
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/healing-the-city,Healing the City,1035,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/the-broken-box,The Broken Box,940,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/c_sm1_2026/living-island,Living Island,773,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/nothing-special,Nothing Special,811,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/barbican,BARBICAN Independent London,958,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/denatured-visions,Sweating out the Toxins,913,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/basin,Basin,936,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/church-studio,CHURCH Studio,1193,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/flats,Flats,704,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/future-casting,Future Casting,799,mixed,subjects-timetable|placements-WIL
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/d_sm1_2026/domesticity-inside-out,Domesticity Inside Out,749,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/e_sm1_2026/vernacular-spectacular,Vernacular Spectacular,728,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/e_sm1_2026/material-metaphors,Material Metaphors,713,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/e_sm1_2026/cenobio-endgame,Cenobio,826,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/e_sm1_2026/wasteocene,Wasteocene,1199,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/e_sm1_2026/bothy,Bothy,734,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/e_sm1_2026/space-for-hire,Light Industry,773,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/e_sm1_2026/NotOnlyButAlso,Not Only But Also,835,mixed,subjects-timetable
abp,ABP,faculty,content,"https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/thesis_sm1_2026/open-animal,-vegetable,-mineral","Animal, Vegetable, Mineral : Architecture in the Anthropocene",712,mixed,subjects-timetable|research-candidature
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/thesis_sm1_2026/collective-housing,Housing Studio,789,mixed,subjects-timetable|research-candidature
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/thesis_sm1_2026/nightingale-night-school,Nightingale Night School,910,mixed,subjects-timetable|research-candidature
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/thesis_sm1_2026/open-rememory,Open Studio: Rememory,786,mixed,subjects-timetable|research-candidature
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/thesis_sm1_2026/re-up,Re-Up,934,mixed,subjects-timetable|research-candidature|placements-WIL
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/thesis_sm1_2026/future-civic,Open Studio: Future Civic,1505,mixed,subjects-timetable|research-candidature
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/thesis_sm1_2026/open-worlding,Open Studio: Worlding,1320,mixed,subjects-timetable|research-candidature
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/master-of-architecture/thesis_sm1_2026/open-studio-parts-unknown,Open Studio: Parts Unknown,755,mixed,subjects-timetable|research-candidature
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2014,2014 Studio Archive | Melbourne School of Design,291,mixed,subjects-timetable|enrolment|course-planning
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2015,2015 Studio Archive | Melbourne School of Design,291,mixed,subjects-timetable|enrolment|course-planning
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2016,2016 Studio Archive | Melbourne School of Design,291,mixed,subjects-timetable|enrolment|course-planning
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2017,2017 Studio Archive | Melbourne School of Design,753,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2018,2018 Studio Archive | Melbourne School of Design,557,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2019,2019 Studio Archive | Melbourne School of Design,588,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2020,2020 Studio Archive | Melbourne School of Design,589,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2021,2021 Studio Archive | Melbourne School of Design,605,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2022,2022 Studio Archive | Melbourne School of Design,627,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2023,2023 Studio Archive | Melbourne School of Design,603,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2024,2024,525,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2026,2025,521,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios,Past Studios | Travelling Studios | Melbourne School of Design,397,mixed,subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/internships-vocational-placements/abpl90434-construction-management-internship/self-sourced,Self-sourced internships | ABPL90434,1289,mixed,placements-WIL|subjects-timetable
abp,ABP,faculty,content,https://msd.unimelb.edu.au/current-students/subject-information/internships-vocational-placements/abpl90434-construction-management-internship/information-for-hosts,Information for hosts | ABPL90434,1059,mixed,placements-WIL|subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2017/cde-2017_SUM-studios/studio-4,Summer Design Studio 4,610,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2017/cde-2017_SUM-studios/studio-10,Summer Design Studio 10,634,mixed,subjects-timetable
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2017/cde-2017_SUM-studios/studio-21,Summer Design Studio 21,649,mixed,subjects-timetable|placements-WIL
abp,ABP,faculty,archive,https://msd.unimelb.edu.au/current-students/subject-information/msd-studios/msd-studio-archive/2017/cde-2017_SUM-studios/studio-22,Summer Design Studio 22,758,mixed,subjects-timetable|placements-WIL
