unit_slug,faculty,classification,page_type,wordCount,hubLinks,url,title,topOutboundHosts_exclChrome
abp,ABP,mixed,archive,1489,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2013,2013 Past Studios | Travelling Studios | MSD,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,archive,1423,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2012,2012 Past Studios | Travelling Studios | MSD,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,archive,1196,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2011,2011 Past Studios | Travelling Studios | MSD,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,archive,807,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2010,2010 Past Studios | Travelling Studios | MSD,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,archive,1109,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2009,2009 Past Studios | Travelling Studios | MSD,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,archive,437,21,https://msd.unimelb.edu.au/current-students/subject-information/travelling-studios/past-studios/2008,2008 Past Studios | Travelling Studios | MSD,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,content,697,21,https://msd.unimelb.edu.au/current-students/subject-information/internships-vocational-placements/abpl90434-construction-management-internship,ABPL90434 Construction Management Internship,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;edsc.unimelb.edu.au:4
abp,ABP,mixed,content,668,21,https://msd.unimelb.edu.au/current-students/subject-information/internships-vocational-placements/abpl90434-construction-management-internship/how-to-apply,How to apply | ABPL90434,students.unimelb.edu.au:14;edsc.unimelb.edu.au:7;msd.unimelb.edu.au:5
abp,ABP,link-farm,stub,0,0,https://msd.unimelb.edu.au/current-students/student-experience/peer-mentoring-program/register-for-msd-peer-mentoring,Redirecting...,
abp,ABP,link-farm,stub,0,0,https://msd.unimelb.edu.au/current-students/student-experience/access-and-id-cards/student-card-access-error-webform,Redirecting...,
abp,ABP,link-farm,stub,0,0,https://msd.unimelb.edu.au/current-students/student-experience/it-support/requestfeedback-form,Redirecting...,
abp,ABP,mixed,content,1641,21,https://msd.unimelb.edu.au/current-students/student-experience/clubs-and-societies/information-for-clubs,Information for clubs,students.unimelb.edu.au:14;msd.unimelb.edu.au:9;services.unimelb.edu.au:7
abp,ABP,link-farm,stub,0,0,https://msd.unimelb.edu.au/current-students/student-experience/student-newsletters/n01-edsc-newsletter-submission-form,Redirecting...,
abp,ABP,mixed,content,585,21,https://msd.unimelb.edu.au/current-students/student-experience/msdx-and-student-exhibitions/key-dates,Key dates,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,content,772,21,https://msd.unimelb.edu.au/current-students/student-experience/msdx-and-student-exhibitions/msd-student-curator-group,MSD Student Curator Group,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,content,711,21,https://msd.unimelb.edu.au/current-students/student-experience/msdx-and-student-exhibitions/installation-tips,Install tips and equipment,students.unimelb.edu.au:14;msd.unimelb.edu.au:8;services.unimelb.edu.au:2
abp,ABP,mixed,archive,1877,21,https://msd.unimelb.edu.au/current-students/student-experience/deans-honours-awards/2023,Dean's Honours Awards 2023,msd.unimelb.edu.au:38;students.unimelb.edu.au:14;services.unimelb.edu.au:2
abp,ABP,mixed,archive,1924,21,https://msd.unimelb.edu.au/current-students/student-experience/deans-honours-awards/2024,Dean's Honours Awards 2024,students.unimelb.edu.au:14;msd.unimelb.edu.au:6;services.unimelb.edu.au:2
abp,ABP,mixed,content,954,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-construction,Master of Architecture/Master of Construction,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,content,786,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-landscape-architecture,Master of Architecture/Master of Landscape Architecture,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,content,647,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-property,Master of Architecture/Master of Property,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,content,676,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-urban-design,Master of Architecture/Master of Urban Design,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,content,651,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-urban-cultural-heritage,Master of Architecture/Master of Urban and Cultural Heritage,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,content,711,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/architecture-urban-planning,Master of Architecture/Master of Urban Planning,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,content,960,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/construction-property,Master of Construction/Master of Property,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
abp,ABP,mixed,content,725,21,https://msd.unimelb.edu.au/current-students/course-planning/sample-course-plans/double-masters/landscape-architecture-urban-design,Master of Landscape Architecture/Master of Urban Design,students.unimelb.edu.au:14;msd.unimelb.edu.au:5;services.unimelb.edu.au:2
