topic,unit_slug,faculty,url,title,wordCount,classification,page_type
IT-systems,mbs,FBE,https://mbs.unimelb.edu.au/students/course-planning/services/computing-spaces,Open Access Student Computing Spaces,641,unique,content
academic-skills,abp,ABP,https://msd.unimelb.edu.au/current-students/student-experience/peer-mentoring-program,MSD Peer Mentoring Program,549,mixed,content
academic-skills,abp,ABP,https://msd.unimelb.edu.au/current-students/student-experience,Student Experience | Melbourne School of Design,663,mixed,content
academic-skills,arts,Arts,https://arts.unimelb.edu.au/students/arts-west-disability-access,Arts West building disability access,351,unique,content
academic-skills,arts,Arts,https://arts.unimelb.edu.au/students/undergraduate,Undergraduate students,676,mixed,content
academic-skills,arts,Arts,https://arts.unimelb.edu.au/students/undergraduate/enrich-your-bachelor-of-arts/academic-mentoring,Academic Mentoring,346,unique,content
academic-skills,arts,Arts,https://arts.unimelb.edu.au/students/undergraduate/enrich-your-bachelor-of-arts/campus-experience,Campus experience,316,unique,content
academic-skills,arts,Arts,https://arts.unimelb.edu.au/students/undergraduate/enrich-your-bachelor-of-arts/melbourne-peer-mentor-program,Melbourne Peer Mentor Program,720,mixed,content
academic-skills,arts,Arts,https://arts.unimelb.edu.au/students/undergraduate/enrich-your-bachelor-of-arts/peer-assisted-study-sessions,Peer Assisted Study Sessions,453,unique,content
academic-skills,arts,Arts,https://arts.unimelb.edu.au/students/undergraduate/resources-and-support/academic-resources,Academic resources,393,mixed,content
academic-skills,arts,Arts,https://arts.unimelb.edu.au/students/undergraduate/resources-and-support/arts-west-disability-access,Arts West building disability access,351,unique,content
academic-skills,arts,Arts,https://arts.unimelb.edu.au/students/undergraduate/resources-and-support/language-placement-tests,Language placement tests,367,unique,content
academic-skills,arts,Arts,https://arts.unimelb.edu.au/students/arts-west-disability-access,Arts West building disability access,351,unique,content
academic-skills,biomedical,MDHS,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/master-of-biomedical-science/academic-skills,Academic Skills,507,unique,content
academic-skills,biomedical,MDHS,https://biomedicalsciences.unimelb.edu.au/study/current-student-information/plan-your-bachelor-of-biomedicine/academic-skills,Academic Skills,420,unique,content
academic-skills,education,Education,https://education.unimelb.edu.au/study/current-students,Current Students | Faculty of Education,795,mixed,content
academic-skills,education,Education,https://education.unimelb.edu.au/study/current-students/academic-skills-module,Academic Skills module,1277,mixed,content
academic-skills,education,Education,https://education.unimelb.edu.au/study/current-students/enrich-your-studies,Enrich your studies,308,unique,content
academic-skills,education,Education,https://education.unimelb.edu.au/study/current-students/enrich-your-studies/peer-mentoring,Peer Mentoring,605,unique,content
academic-skills,education,Education,https://education.unimelb.edu.au/study/current-students/literacy-and-numeracy-test-for-initial-teacher-education-students-lantite,Literacy and Numeracy Test for Initial Teacher Education Students (LANTITE),641,unique,content
academic-skills,education,Education,https://education.unimelb.edu.au/study/current-students/resources-and-it,Student Services and IT,370,unique,content
academic-skills,feit,FEIT,https://eng.unimelb.edu.au/students/coursework/study-resources/academic-skills,Academic Skills,507,unique,content
academic-skills,feit,FEIT,"https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/before-orientation/improve-your-english,-communication-and-academic-skills/academic-skills",Academic Skills,306,unique,content
academic-skills,feit,FEIT,"https://eng.unimelb.edu.au/students/coursework/student-experience/orientation/before-orientation/improve-your-english,-communication-and-academic-skills/academic-english-tutorials",Academic English Tutorials,667,unique,content
academic-skills,ffam,FFAM,https://finearts-music.unimelb.edu.au/current-students/research-students/university-student-services,Student Services | Graduate Students | FFAM,726,unique,content
academic-skills,law,Law,https://law.unimelb.edu.au/students/academic-support-and-wellbeing/student-equity-and-disability-support,Student Equity and Disability Support,565,unique,content
academic-skills,law,Law,https://law.unimelb.edu.au/students/academic-support-and-wellbeing/wellbeing,Wellbeing,592,unique,content
academic-skills,law,Law,https://law.unimelb.edu.au/students/academic-support-and-wellbeing/wellbeing/extensions,Extensions,660,unique,content
academic-skills,law,Law,https://law.unimelb.edu.au/students/academic-support-and-wellbeing/wellbeing/registration-for-ongoing-support,Registration for ongoing support,418,unique,content
academic-skills,law,Law,https://law.unimelb.edu.au/students/grd,Graduate Researchers | Students | Melbourne Law School,349,unique,content
academic-skills,law,Law,https://law.unimelb.edu.au/students/jd,JD Students,937,mixed,content
